               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.074041,             0.15581,             0.03764,             0.48071,              0.3096,             0.27033,             0.14648,            0.070366,             0.12563,            0.036638,            0.002872,            0.002872,            0.002872
                  38,            0.073285,             0.15527,            0.037072,             0.47314,             0.31766,             0.27401,             0.14785,            0.069966,             0.12561,            0.036623,            0.002674,            0.002674,            0.002674
                  39,            0.073427,             0.15503,             0.03682,             0.47254,             0.30851,             0.27218,             0.14802,            0.070006,             0.12602,            0.036569,            0.002476,            0.002476,            0.002476
                  40,            0.073678,             0.15563,            0.036902,             0.45844,             0.31003,             0.27413,             0.15065,            0.069898,             0.12605,            0.036462,            0.002278,            0.002278,            0.002278
                  41,             0.07244,             0.15414,            0.036899,             0.45829,             0.31923,             0.27484,             0.15056,            0.069848,             0.12562,            0.036446,             0.00208,             0.00208,             0.00208
                  42,            0.072438,             0.15312,            0.036838,             0.45725,             0.31178,             0.27551,             0.15146,            0.069685,             0.12581,            0.036328,            0.001882,            0.001882,            0.001882
                  43,            0.071976,             0.15529,            0.036564,             0.46234,             0.31774,             0.27933,             0.15369,            0.069728,             0.12541,            0.036366,            0.001684,            0.001684,            0.001684
                  44,            0.072013,             0.15304,            0.036369,             0.46916,             0.32148,              0.2786,             0.15362,            0.069773,             0.12602,            0.036294,            0.001486,            0.001486,            0.001486
                  45,            0.072266,             0.15403,            0.036783,             0.46884,             0.32652,             0.28314,             0.15729,            0.069472,             0.12546,            0.036238,            0.001288,            0.001288,            0.001288
                  46,            0.072777,             0.15605,            0.036499,             0.46318,             0.32806,              0.2833,             0.15536,            0.069546,             0.12585,             0.03627,             0.00109,             0.00109,             0.00109
                  47,            0.072021,             0.15295,            0.036424,             0.48141,             0.31978,             0.28471,             0.15696,             0.06941,             0.12573,            0.036209,            0.000892,            0.000892,            0.000892
                  48,            0.071432,             0.15167,            0.036204,             0.47435,             0.31538,             0.28293,             0.15745,            0.069225,             0.12533,            0.036203,            0.000694,            0.000694,            0.000694
                  49,            0.072252,              0.1522,            0.036422,             0.47026,             0.31764,             0.28071,             0.15767,             0.06929,             0.12522,             0.03616,            0.000496,            0.000496,            0.000496
