                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2962,                 1.4487,                 1.1159,                0.47255,                0.33133,                0.30841,                 0.2024,                 1.3668,                  1.554,                   1.15,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.3015,                 1.4361,                 1.1139,                0.51612,                 0.3424,                0.33004,                0.21624,                 1.3547,                  1.503,                  1.143,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.2849,                 1.4051,                 1.1014,                0.50015,                 0.3392,                0.33703,                0.22349,                 1.3473,                 1.5171,                 1.1406,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.2967,                 1.4356,                 1.1164,                0.49371,                0.34039,                0.31223,                0.20358,                 1.3742,                 1.5341,                 1.1418,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.2765,                 1.4209,                  1.113,                0.47669,                0.35416,                0.32305,                0.21421,                 1.3468,                 1.5164,                 1.1396,             0.00052787,             0.00052787,             0.00052787
                     39,                  1.275,                 1.3944,                 1.1024,                0.51528,                0.33018,                 0.3297,                0.22055,                 1.3372,                 1.5241,                 1.1391,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.2674,                 1.4045,                  1.105,                0.50192,                0.36882,                 0.3434,                 0.2304,                 1.3459,                 1.5238,                 1.1402,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.2652,                 1.3933,                 1.1018,                0.51027,                0.33626,                 0.3268,                0.21655,                 1.3372,                 1.5211,                 1.1395,             0.00050313,             0.00050313,             0.00050313
                     42,                  1.244,                 1.3558,                  1.085,                0.51356,                0.32889,                0.31583,                0.20821,                 1.3458,                 1.5388,                 1.1378,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.2537,                 1.3604,                 1.0926,                0.45831,                0.37752,                0.33961,                0.22803,                 1.3172,                  1.483,                 1.1322,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.2442,                 1.3466,                 1.0913,                0.50495,                0.33127,                0.31588,                 0.2101,                 1.3234,                 1.5348,                 1.1387,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.2338,                 1.3375,                 1.0853,                0.40981,                0.38049,                0.34107,                0.22909,                 1.3258,                 1.5113,                 1.1294,             0.00047015,             0.00047015,             0.00047015
                     46,                  1.228,                 1.3236,                 1.0873,                0.49718,                0.36591,                0.35312,                0.23845,                 1.3292,                 1.5209,                 1.1359,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.2372,                 1.3349,                 1.0909,                0.42396,                0.38554,                0.34809,                0.23698,                 1.3261,                 1.5141,                 1.1333,             0.00045365,             0.00045365,             0.00045365
                     48,                 1.2216,                 1.3159,                 1.0832,                0.40963,                0.36593,                0.33204,                0.22077,                 1.3434,                 1.5229,                 1.1369,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.2222,                 1.3192,                 1.0834,                0.48069,                0.36395,                 0.3538,                0.23864,                 1.3566,                 1.5174,                 1.1407,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.2135,                  1.299,                 1.0809,                0.38193,                 0.4236,                0.33836,                0.23167,                 1.3175,                 1.5107,                 1.1303,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.1964,                 1.2868,                 1.0722,                0.45446,                0.37162,                0.34174,                 0.2297,                 1.3199,                 1.5084,                 1.1265,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.2096,                 1.2987,                 1.0752,                0.45848,                0.39209,                0.34834,                0.23282,                  1.325,                 1.5076,                 1.1311,             0.00041242,             0.00041242,             0.00041242
                     53,                 1.2138,                  1.292,                 1.0729,                 0.4315,                0.38395,                0.34313,                0.23048,                 1.3322,                 1.5057,                 1.1375,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.1906,                 1.2697,                 1.0686,                0.48944,                0.38365,                0.35272,                0.23704,                 1.3233,                 1.5221,                 1.1415,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.1999,                 1.2675,                 1.0612,                0.46995,                0.37432,                0.35581,                 0.2438,                 1.2916,                 1.5046,                 1.1234,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.1989,                 1.2587,                  1.066,                0.48231,                0.35403,                0.34986,                0.23879,                 1.3001,                 1.4976,                 1.1178,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.1972,                 1.2661,                 1.0703,                0.50276,                0.36143,                0.34657,                0.23833,                 1.3123,                 1.4982,                 1.1283,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.1886,                 1.2448,                 1.0614,                0.48995,                0.34724,                 0.3492,                0.23535,                 1.3167,                  1.503,                 1.1293,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.1702,                 1.2307,                 1.0616,                0.46085,                0.36914,                0.35023,                 0.2401,                   1.31,                 1.5118,                 1.1309,             0.00035469,             0.00035469,             0.00035469
                     60,                  1.176,                 1.2232,                 1.0579,                0.48705,                0.36464,                0.35222,                0.23959,                  1.308,                 1.4872,                  1.129,             0.00034644,             0.00034644,             0.00034644
                     61,                 1.1738,                 1.2265,                 1.0591,                0.49251,                0.37994,                 0.3509,                0.24091,                  1.308,                 1.4912,                  1.133,              0.0003382,              0.0003382,              0.0003382
                     62,                 1.1719,                 1.2078,                 1.0556,                0.42278,                0.37573,                0.34757,                0.23738,                 1.3046,                 1.5091,                 1.1284,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.1659,                 1.1983,                 1.0563,                 0.4643,                0.37131,                0.34943,                0.23762,                 1.3035,                 1.5018,                 1.1278,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.1533,                 1.1899,                 1.0559,                0.49075,                 0.3552,                0.34961,                0.23918,                  1.318,                 1.5166,                 1.1244,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.1422,                 1.1729,                 1.0476,                0.49804,                0.38451,                0.35323,                0.23694,                 1.3167,                 1.5143,                 1.1319,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.1572,                 1.1967,                 1.0496,                0.49317,                0.35899,                0.35509,                 0.2432,                 1.3196,                 1.5128,                 1.1371,             0.00029696,             0.00029696,             0.00029696
                     67,                  1.126,                 1.1719,                 1.0464,                0.48072,                0.37282,                0.35395,                0.24207,                 1.3081,                  1.497,                 1.1321,             0.00028872,             0.00028872,             0.00028872
                     68,                 1.1394,                 1.1767,                 1.0446,                0.49819,                0.37204,                0.36224,                0.24734,                 1.3136,                 1.4909,                  1.128,             0.00028047,             0.00028047,             0.00028047
                     69,                 1.1274,                  1.151,                 1.0412,                0.50903,                0.37759,                0.35929,                0.24803,                 1.2881,                 1.4749,                 1.1256,             0.00027222,             0.00027222,             0.00027222
                     70,                 1.1255,                 1.1516,                 1.0447,                0.50336,                0.36379,                0.36109,                0.24795,                 1.3014,                 1.4972,                 1.1303,             0.00026398,             0.00026398,             0.00026398
                     71,                 1.1276,                 1.1459,                 1.0464,                0.50009,                0.37526,                0.35997,                0.25026,                 1.2876,                 1.4913,                 1.1215,             0.00025573,             0.00025573,             0.00025573
                     72,                 1.1141,                 1.1278,                 1.0386,                0.48389,                0.36672,                 0.3527,                0.24189,                 1.3163,                 1.5253,                 1.1319,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.1236,                  1.142,                 1.0445,                0.45791,                0.37222,                0.35495,                0.24273,                  1.308,                 1.5132,                 1.1344,             0.00023924,             0.00023924,             0.00023924
                     74,                 1.1098,                  1.116,                 1.0379,                0.50207,                0.36524,                0.36166,                0.25006,                 1.2808,                  1.489,                 1.1256,             0.00023099,             0.00023099,             0.00023099
                     75,                 1.1109,                 1.1092,                 1.0296,                0.42886,                0.39406,                0.35568,                0.24455,                 1.2929,                 1.4884,                  1.131,             0.00022274,             0.00022274,             0.00022274
                     76,                 1.1028,                 1.1026,                 1.0361,                0.48696,                0.36101,                0.35708,                0.24659,                  1.298,                 1.5052,                 1.1266,              0.0002145,              0.0002145,              0.0002145
                     77,                 1.1162,                 1.1127,                 1.0379,                0.43784,                0.38375,                0.35086,                 0.2382,                 1.3099,                 1.5085,                 1.1302,             0.00020625,             0.00020625,             0.00020625
